# model-routing-defaults.tsv — the TRACKED canonical worker model-routing table:
# how a job's `model:` pin (or an unpinned job) maps to the backend/provider that
# may claim it, plus each provider's fleet-default model. This is DATA the routing
# code reads, not code — but it lives on main2 as the durable SEED + fail-safe
# fallback (always present in a fresh checkout, like bot-identity-defaults.tsv).
#
# PER-INSTANCE CHANGES DO NOT EDIT THIS FILE. As models come and go (a box pulls a
# new Ollama tag, a paid tier is renamed), the maintainer edits the PER-INSTANCE
# override on journal2 — `config/model-routing`, written by set-model-routing.sh —
# which takes precedence over this file and needs NO deploy (it is journal DATA; a
# gardener re-syncs its clone on its next claim and picks it up). Edit HERE only to
# move the tracked default/fallback for EVERY instance, which does need a deploy.
#
# TAB-separated, one row per provider/worker-kind backend:
#   <provider>  <patterns>  <fleet-default-model>
# provider  — the worker kind's provider (worker_kind_field <kind> provider):
#             anthropic (gardener), openai (cleric), local (hermit), moonshot (mystic),
#             fireworks (fireworker), openrouter (openrouter).
# patterns  — space-separated shell globs matched against a job's resolved `model:`
#             value to decide which provider it PINS to. A leading `!` marks an
#             EXCLUDE glob (matched → this provider does NOT own the id), so openai
#             can own gpt-* while explicitly disowning the local gpt-oss* family.
#             A model that matches no provider's patterns is UNPINNED → any kind may
#             claim it. Short tier aliases (opus, terra, …) are bound to concrete
#             ids in code (resolve_model_tier); these patterns classify concrete ids.
# default   — the fleet-default concrete model id a worker of this provider runs
#             when a job names no `model:` and its role has no pinned default. Empty
#             for anthropic: the headerless Claude default is not a knowable id here
#             (the handler decides), so it is keyed by a sentinel in code instead.
#
# Current reality (2026-07-28): garden2's local box serves ONLY qwen
# (`qwen3.6`), so hermits recognize the qwen family and default to that exact
# Ollama tag. The gpt-oss:* mapping
# is retired (a gpt-oss job is now UNPINNED, not auto-local). Full doc + the edit
# helper (set-model-routing.sh): skills/model-selection/SKILL.md.
anthropic	claude-fable-5 claude-opus-5 claude-opus-4-8 claude-opus-4-8[1m] claude-opus-4-7 claude-sonnet-5 claude-sonnet-4-6 claude-haiku-4-5 claude-haiku-4-5-20251001 claude-mythos-5
openai	gpt-5.6-sol gpt-5.6-terra gpt-5.6-luna gpt-5.5 gpt-5.4-mini	gpt-5.6-terra
local	qwen3.6	qwen3.6
# Moonshot has no fleet default. Mystic claims only exact `model: kimi-k3` jobs.
moonshot	kimi-k3
# Fireworks has no fleet default. A reviewed exact selector is required; a new
# Fireworks model stays unclassified until it is added to the closed inventory.
fireworks	fireworks/accounts/fireworks/models/glm-5p2 fireworks/accounts/fireworks/models/kimi-k3 fireworks/accounts/fireworks/models/deepseek-v4-pro fireworks/accounts/fireworks/models/gpt-oss-120b
# OpenRouter has no fleet default. Only reviewed, exact, NAMED selectors are listed
# (never a wildcard, never a cloaked/stealth id): a new OpenRouter model — and every
# rotating stealth id — stays unclassified and fails closed until it earns a reviewed
# row in the closed inventory (designs/openrouter-provider.md § stealth policy).
openrouter	openrouter/deepseek/deepseek-chat-v3-0324:free openrouter/meta-llama/llama-3.3-70b-instruct:free
